node_id1	node_id2	experimental
511145.b0093	511145.b3296	800
511145.b0093	511145.b2606	800
511145.b0093	511145.b3313	800
511145.b0098	511145.b3294	800
511145.b0098	511145.b1717	800
511145.b0098	511145.b3312	800
511145.b0098	511145.b3315	800
511145.b0098	511145.b0736	757
511145.b0098	511145.b3301	800
511145.b0098	511145.b3318	800
511145.b0098	511145.b3308	800
511145.b0098	511145.b3231	800
511145.b0098	511145.b3319	802
511145.b0098	511145.b1716	800
511145.b0098	511145.b3300	999
511145.b0098	511145.b3636	800
511145.b0098	511145.b3309	800
511145.b0098	511145.b3175	923
511145.b0098	511145.b3186	800
511145.b0098	511145.b3317	800
511145.b0098	511145.b3305	800
511145.b0098	511145.b3703	800
511145.b0098	511145.b1094	880
511145.b0098	511145.b3985	800
511145.b0098	511145.b4203	800
511145.b0098	511145.b3185	800
511145.b0098	511145.b3981	904
511145.b0098	511145.b1089	800
511145.b0098	511145.b3310	800
511145.b0098	511145.b3637	800
511145.b0098	511145.b3299	800
511145.b0098	511145.b0383	873
511145.b0098	511145.b2185	800
511145.b0098	511145.b0957	871
511145.b0098	511145.b3313	800
511145.b0098	511145.b3983	803
511145.b0098	511145.b3302	800
511145.b0098	511145.b4354	870
511145.b0098	511145.b3609	998
511145.b0098	511145.b2606	800
511145.b0098	511145.b3320	811
511145.b0098	511145.b3304	800
511145.b0169	511145.b3294	999
511145.b0169	511145.b1717	999
511145.b0169	511145.b3297	999
511145.b0169	511145.b3312	997
511145.b0169	511145.b3315	999
511145.b0169	511145.b4202	999
511145.b0169	511145.b4147	890
511145.b0169	511145.b2569	862
511145.b0169	511145.b3301	997
511145.b0169	511145.b3318	997
511145.b0169	511145.b2784	835
511145.b0169	511145.b3065	999
511145.b0169	511145.b3308	997
511145.b0169	511145.b0953	800
511145.b0169	511145.b3314	999
511145.b0169	511145.b3339	856
511145.b0169	511145.b3165	999
511145.b0169	511145.b4550	800
511145.b0169	511145.b2891	866
511145.b0169	511145.b1089	997
511145.b0169	511145.b0911	938
511145.b0169	511145.b3703	999
511145.b0169	511145.b0424	859
511145.b0169	511145.b3310	999
511145.b0169	511145.b3295	811
511145.b0169	511145.b3169	800
511145.b0169	511145.b4506	977
511145.b0169	511145.b4161	817
511145.b0169	511145.b3984	995
511145.b0169	511145.b0296	977
511145.b0169	511145.b3231	997
511145.b0169	511145.b3304	999
511145.b0169	511145.b3981	800
511145.b0169	511145.b0191	865
511145.b0169	511145.b3307	999
511145.b0169	511145.b3306	999
511145.b0169	511145.b3185	997
511145.b0169	511145.b0884	870
511145.b0169	511145.b3203	977
511145.b0169	511145.b3300	834
511145.b0169	511145.b3311	999
511145.b0169	511145.b3298	999
511145.b0169	511145.b3287	800
511145.b0169	511145.b0172	946
511145.b0169	511145.b3980	856
511145.b0169	511145.b2597	890
511145.b0169	511145.b3313	997
511145.b0169	511145.b3321	999
511145.b0169	511145.b3637	999
511145.b0169	511145.b3316	999
511145.b0169	511145.b2620	860
511145.b0169	511145.b3299	985
511145.b0169	511145.b3303	999
511145.b0169	511145.b2185	997
511145.b0169	511145.b3230	999
511145.b0169	511145.b3936	977
511145.b0169	511145.b3168	971
511145.b0169	511145.b4200	999
511145.b0169	511145.b3983	997
511145.b0169	511145.b3302	999
511145.b0169	511145.b2606	997
511145.b0169	511145.b3982	800
511145.b0169	511145.b2609	999
511145.b0169	511145.b3320	997
511145.b0169	511145.b2567	738
511145.b0169	511145.b1282	846
511145.b0169	511145.b3309	997
511145.b0169	511145.b3986	961
