protein1 protein2 experimental
511145.b0172 511145.b1717 934
511145.b0172 511145.b3305 944
511145.b0172 511145.b3304 934
511145.b0172 511145.b3298 934
511145.b0172 511145.b3319 945
511145.b0172 511145.b3185 945
511145.b0172 511145.b2606 945
511145.b0172 511145.b3312 944
511145.b0172 511145.b3983 990
511145.b0172 511145.b3936 924
511145.b0172 511145.b3308 944
511145.b0172 511145.b3306 934
511145.b0172 511145.b3165 945
511145.b0172 511145.b3984 886
511145.b0172 511145.b1089 945
511145.b0172 511145.b3230 945
511145.b0172 511145.b3303 945
511145.b0172 511145.b3320 945
511145.b0172 511145.b3313 945
511145.b0172 511145.b3637 944
511145.b0172 511145.b3294 945
511145.b0172 511145.b3314 886
511145.b0172 511145.b3316 886
511145.b0172 511145.b3296 934
511145.b0172 511145.b2185 886
511145.b0172 511145.b3307 945
511145.b0172 511145.b3703 886
511145.b0172 511145.b3342 945
511145.b0172 511145.b3317 945
511145.b0172 511145.b3299 926
511145.b0172 511145.b3315 945
511145.b0172 511145.b3318 944
511145.b0177 511145.b2477 999
511145.b0177 511145.b4034 900
511145.b0177 511145.b2595 999
511145.b0177 511145.b2617 999
511145.b0177 511145.b1641 800
511145.b0177 511145.b3821 900
511145.b0177 511145.b0196 955
511145.b0177 511145.b2512 999
511145.b0178 511145.b0957 954
511145.b0179 511145.b1094 907
511145.b0180 511145.b1094 963
511145.b0184 511145.b4372 999
511145.b0184 511145.b0215 999
511145.b0184 511145.b0470 999
511145.b0184 511145.b4059 999
511145.b0184 511145.b1842 999
511145.b0184 511145.b0640 999
511145.b0184 511145.b4259 999
511145.b0184 511145.b3701 999
511145.b0184 511145.b1099 999
511145.b0185 511145.b2316 999
511145.b0191 511145.b3312 800
511145.b0191 511145.b2606 920
511145.b0191 511145.b3185 920
511145.b0191 511145.b3306 800
511145.b0191 511145.b3985 800
511145.b0191 511145.b3936 800
511145.b0191 511145.b3308 800
511145.b0191 511145.b3983 846
511145.b0191 511145.b1089 848
511145.b0191 511145.b3984 815
511145.b0191 511145.b3165 845
511145.b0191 511145.b3230 847
511145.b0191 511145.b3637 800
511145.b0191 511145.b3313 813
511145.b0191 511145.b3320 849
511145.b0191 511145.b3303 839
511145.b0191 511145.b3342 834
511145.b0191 511145.b3703 800
511145.b0191 511145.b3307 834
511145.b0191 511145.b3296 800
511145.b0191 511145.b3316 800
511145.b0191 511145.b2185 800
511145.b0191 511145.b3314 800
511145.b0191 511145.b3294 847
511145.b0191 511145.b3317 800
511145.b0191 511145.b3318 800
511145.b0191 511145.b3315 825
511145.b0191 511145.b3299 812
511145.b0191 511145.b2609 847
511145.b0191 511145.b4202 800
511145.b0191 511145.b3231 843
511145.b0191 511145.b3297 843
511145.b0191 511145.b1716 847
511145.b0191 511145.b3321 834
511145.b0191 511145.b3341 840
511145.b0191 511145.b3301 863
511145.b0191 511145.b3311 800
511145.b0191 511145.b4200 810
511145.b0191 511145.b3309 841
511145.b0191 511145.b3310 800
511145.b0191 511145.b4203 850
511145.b0191 511145.b3302 800
511145.b0191 511145.b3636 888
511145.b0191 511145.b3065 800
511145.b0191 511145.b3305 800
511145.b0191 511145.b3186 847
511145.b0191 511145.b1717 800
511145.b0191 511145.b3319 845
511145.b0191 511145.b3298 800
511145.b0191 511145.b3304 800
511145.b0196 511145.b1118 900
511145.b0196 511145.b1116 900
511145.b0196 511145.b1117 800
511145.b0197 511145.b0198 976
511145.b0197 511145.b0199 940
511145.b0198 511145.b0199 998
511145.b0199 511145.b0817 850
511145.b0199 511145.b2719 849
511145.b0215 511145.b0470 984
511145.b0215 511145.b0640 848
511145.b0215 511145.b1842 999
511145.b0215 511145.b4290 774
511145.b0215 511145.b3701 992
511145.b0225 511145.b0226 915
511145.b0231 511145.b3701 994
511145.b0232 511145.b0233 817
511145.b0237 511145.b2908 845
511145.b0243 511145.b2125 774
511145.b0284 511145.b0286 988
511145.b0284 511145.b0285 957
511145.b0285 511145.b0286 985
511145.b0285 511145.b2881 802
511145.b0296 511145.b3320 926
511145.b0296 511145.b3303 926
511145.b0296 511145.b3637 926
511145.b0296 511145.b3313 926
511145.b0296 511145.b3314 926
511145.b0296 511145.b3294 926
511145.b0296 511145.b2185 926
511145.b0296 511145.b3296 926
511145.b0296 511145.b3316 926
511145.b0296 511145.b3307 926
511145.b0296 511145.b3342 926
511145.b0296 511145.b3703 926
511145.b0296 511145.b3317 926
511145.b0296 511145.b3315 926
511145.b0296 511145.b3318 926
511145.b0296 511145.b3185 926
511145.b0296 511145.b2606 926
511145.b0296 511145.b3312 926
511145.b0296 511145.b3308 924
511145.b0296 511145.b3983 921
511145.b0296 511145.b3306 926
511145.b0296 511145.b3165 926
511145.b0296 511145.b1089 926
511145.b0296 511145.b3230 926
511145.b0296 511145.b4200 926
511145.b0296 511145.b3309 926
511145.b0296 511145.b3311 926
511145.b0296 511145.b3301 926
511145.b0296 511145.b3341 926
511145.b0296 511145.b3321 926
511145.b0296 511145.b3636 926
511145.b0296 511145.b3065 926
511145.b0296 511145.b3302 926
511145.b0296 511145.b3310 926
511145.b0296 511145.b4203 924
511145.b0296 511145.b1717 926
511145.b0296 511145.b3186 926
511145.b0296 511145.b3305 926
511145.b0296 511145.b3304 926
511145.b0296 511145.b3319 926
511145.b0296 511145.b3298 926
511145.b0296 511145.b4202 926
511145.b0296 511145.b2609 926
511145.b0296 511145.b3231 921
511145.b0296 511145.b4506 920
511145.b0296 511145.b1716 926
511145.b0296 511145.b3297 926
511145.b0318 511145.b1206 709
511145.b0318 511145.b2286 802
511145.b0351 511145.b0352 839
511145.b0382 511145.b1235 952
511145.b0383 511145.b3609 900
511145.b0383 511145.b0436 900
511145.b0397 511145.b0398 984
511145.b0399 511145.b3067 800
511145.b0399 511145.b0400 840
511145.b0407 511145.b0462 980
511145.b0408 511145.b3300 900
511145.b0408 511145.b3175 907
511145.b0408 511145.b3705 902
511145.b0408 511145.b3981 900
511145.b0408 511145.b0409 900
511145.b0409 511145.b3175 800
511145.b0409 511145.b3300 900
511145.b0409 511145.b3705 900
511145.b0409 511145.b3981 800
511145.b0413 511145.b2520 751
511145.b0414 511145.b3256 701
511145.b0416 511145.b3982 800
511145.b0416 511145.b3649 800
511145.b0416 511145.b2533 800
511145.b0416 511145.b3296 814
511145.b0416 511145.b3987 800
511145.b0416 511145.b3169 900
511145.b0416 511145.b3295 800
511145.b0416 511145.b3988 800
511145.b0416 511145.b3321 986
511145.b0424 511145.b3231 832
511145.b0424 511145.b3708 832
511145.b0424 511145.b3321 841
511145.b0424 511145.b3310 838
511145.b0424 511145.b3339 832
511145.b0424 511145.b3185 832
511145.b0424 511145.b3308 832
511145.b0424 511145.b3637 832
511145.b0424 511145.b3316 832
511145.b0429 511145.b0430 960
511145.b0429 511145.b0431 960
511145.b0429 511145.b0432 989
511145.b0430 511145.b3738 736
511145.b0430 511145.b0431 972
511145.b0430 511145.b2286 802
511145.b0430 511145.b0432 988
511145.b0431 511145.b2286 802
511145.b0431 511145.b0432 993
511145.b0432 511145.b2286 802
511145.b0435 511145.b1654 946
511145.b0436 511145.b3299 800
511145.b0436 511145.b3315 895
511145.b0436 511145.b3318 924
511145.b0436 511145.b3317 895
511145.b0436 511145.b3294 895
511145.b0436 511145.b3314 895
511145.b0436 511145.b2185 800
511145.b0436 511145.b3296 800
511145.b0436 511145.b3316 895
511145.b0436 511145.b3307 895
511145.b0436 511145.b3703 800
511145.b0436 511145.b3342 800
511145.b0436 511145.b3320 896
511145.b0436 511145.b3303 896
511145.b0436 511145.b3313 895
511145.b0436 511145.b3637 896
511145.b0436 511145.b3230 895
511145.b0436 511145.b3165 800
511145.b0436 511145.b1089 800
511145.b0436 511145.b3936 800
511145.b0436 511145.b3308 895
511145.b0436 511145.b3983 800
511145.b0436 511145.b3306 800
511145.b0436 511145.b3185 800
511145.b0436 511145.b2606 800
511145.b0436 511145.b3312 924
511145.b0436 511145.b3304 800
511145.b0436 511145.b3298 800
511145.b0436 511145.b3287 975
511145.b0436 511145.b3319 896
511145.b0436 511145.b1717 800
511145.b0436 511145.b3186 800
511145.b0436 511145.b3305 895
511145.b0436 511145.b3065 898
511145.b0436 511145.b3636 800
511145.b0436 511145.b3302 800
511145.b0436 511145.b4203 800
511145.b0436 511145.b3310 895
511145.b0436 511145.b4200 800
511145.b0436 511145.b3309 921
511145.b0436 511145.b3311 800
511145.b0436 511145.b3301 895
511145.b0436 511145.b3341 970
511145.b0436 511145.b3321 895
511145.b0436 511145.b1716 800
511145.b0436 511145.b3297 895
511145.b0436 511145.b3231 895
511145.b0436 511145.b4202 800
511145.b0436 511145.b2609 800
511145.b0436 511145.b0954 776
511145.b0437 511145.b0438 999
511145.b0437 511145.b0882 999
511145.b0437 511145.b0881 800
511145.b0438 511145.b2527 720
511145.b0440 511145.b4000 999
511145.b0450 511145.b2553 942
511145.b0450 511145.b3869 879
511145.b0450 511145.b0451 999
511145.b0460 511145.b1237 986
511145.b0462 511145.b3035 912
511145.b0462 511145.b0762 986
511145.b0462 511145.b0463 986
511145.b0463 511145.b0762 895
511145.b0463 511145.b3035 994
511145.b0470 511145.b0640 999
511145.b0470 511145.b4259 999
511145.b0470 511145.b4290 789
511145.b0470 511145.b3701 997
511145.b0470 511145.b1099 999
511145.b0470 511145.b4372 999
511145.b0470 511145.b4059 999
511145.b0472 511145.b2565 888
511145.b0476 511145.b2286 802
511145.b0480 511145.b2206 780
511145.b0484 511145.b1646 796
511145.b0487 511145.b3067 900
511145.b0487 511145.b3987 824
511145.b0487 511145.b3649 815
511145.b0487 511145.b3988 815
511145.b0487 511145.b3295 815
511145.b0525 511145.b2286 802
511145.b0570 511145.b0571 802
511145.b0574 511145.b0575 980
511145.b0584 511145.b1252 955
511145.b0586 511145.b4511 979
511145.b0594 511145.b0595 849
511145.b0594 511145.b0596 704
511145.b0596 511145.b2286 702
511145.b0634 511145.b0635 741
511145.b0637 511145.b3186 945
511145.b0637 511145.b1717 886
511145.b0637 511145.b3305 800
511145.b0637 511145.b3304 886
511145.b0637 511145.b3319 943
511145.b0637 511145.b3301 945
511145.b0637 511145.b3309 945
511145.b0637 511145.b3302 886
511145.b0637 511145.b3636 916
511145.b0637 511145.b4203 923
511145.b0637 511145.b3310 975
511145.b0637 511145.b1716 939
511145.b0637 511145.b3183 925
511145.b0637 511145.b4234 800
511145.b0637 511145.b3231 945
511145.b0637 511145.b3317 931
511145.b0637 511145.b3315 937
511145.b0637 511145.b3299 851
511145.b0637 511145.b3318 886
511145.b0637 511145.b3320 945
511145.b0637 511145.b3313 937
511145.b0637 511145.b3637 886
511145.b0637 511145.b2185 886
511145.b0637 511145.b3294 945
511145.b0637 511145.b3703 886
511145.b0637 511145.b1094 738
511145.b0637 511145.b1089 939
511145.b0637 511145.b2594 904
511145.b0637 511145.b2606 973
511145.b0637 511145.b3185 939
511145.b0637 511145.b3312 920
511145.b0637 511145.b3308 800
511145.b0637 511145.b3936 810
511145.b0637 511145.b3983 942
511145.b0637 511145.b3985 800
511145.b0640 511145.b4259 949
511145.b0640 511145.b3701 999
511145.b0640 511145.b1099 999
511145.b0640 511145.b4372 990
511145.b0642 511145.b2411 848
511145.b0642 511145.b1794 820
511145.b0642 511145.b1274 850
511145.b0643 511145.b3306 715
511145.b0643 511145.b3303 715
511145.b0694 511145.b0695 984
511145.b0696 511145.b0698 980
511145.b0696 511145.b4513 800
511145.b0696 511145.b0697 938
511145.b0697 511145.b0698 980
511145.b0697 511145.b4513 900
511145.b0698 511145.b4513 980
511145.b0711 511145.b0712 966
511145.b0721 511145.b0723 981
511145.b0721 511145.b0722 981
511145.b0721 511145.b0724 981
511145.b0722 511145.b0724 862
511145.b0723 511145.b0724 983
511145.b0723 511145.b2897 738
511145.b0726 511145.b0727 938
511145.b0728 511145.b0729 998
511145.b0733 511145.b4602 900
511145.b0733 511145.b0734 992
511145.b0733 511145.b4515 947
511145.b0734 511145.b4515 895
511145.b0734 511145.b4602 800
511145.b0738 511145.b0739 846
511145.b0739 511145.b0740 866
511145.b0740 511145.b0929 967
511145.b0740 511145.b0741 991
511145.b0740 511145.b3966 800
511145.b0741 511145.b0957 850
511145.b0741 511145.b1209 851
511145.b0741 511145.b0891 851
511145.b0750 511145.b2574 746
511145.b0762 511145.b3035 800
511145.b0763 511145.b2424 716
511145.b0779 511145.b4349 780
511145.b0779 511145.b3813 772
511145.b0779 511145.b4058 999
511145.b0779 511145.b1913 850
511145.b0784 511145.b0826 994
511145.b0784 511145.b0785 999
511145.b0812 511145.b0881 955
511145.b0817 511145.b2719 845
511145.b0849 511145.b2234 900
511145.b0869 511145.b2286 802
511145.b0872 511145.b2286 802
511145.b0878 511145.b0879 996
511145.b0878 511145.b3035 999
511145.b0879 511145.b3035 895
